File Name	Title	Description	URL
cclf.png	Cancer Cell Line Factory	Based on cancer cell line data from the CCLF team at the Broad Institute, I utilized D3.js, DataTables, jQuery, and Vue.js to implement a sunburst chart and an intuitive filtering mechanism for users	https://cellfactory.broadinstitute.org/#/
gtex.png	Genotype Tissue Expression 	Collaborating with the GTEx team, I was able to implement a responsive homepage designed from a Adobe XD prototype	https://gtexportal.org/home/
pattern.png	Pattern Team Website	I am the primary developer and designer of the website showcasing Pattern's data visualization work.	https://pattern.broadinstitute.org/
mm.png	Mister Monut	I created a website showcasing the various Asian American inspired dessert sold at Mister Monut.	https://mistermonut.com/
